feature_name,feature_group
F3_ptp_mean,time_domain
F3_ptp_std,time_domain
F3_skew_mean,time_domain
F3_skew_std,time_domain
F3_kurtosis_mean,time_domain
F3_kurtosis_std,time_domain
F3_line_length_mean,time_domain
F3_line_length_std,time_domain
F3_zero_crossing_rate_mean,time_domain
F3_zero_crossing_rate_std,time_domain
F3_hjorth_activity_mean,hjorth
F3_hjorth_activity_std,hjorth
F3_hjorth_mobility_mean,hjorth
F3_hjorth_mobility_std,hjorth
F3_hjorth_complexity_mean,hjorth
F3_hjorth_complexity_std,hjorth
F3_delta_abs_mean,frequency_band
F3_delta_abs_std,frequency_band
F3_delta_rel_mean,frequency_band
F3_delta_rel_std,frequency_band
F3_theta_abs_mean,frequency_band
F3_theta_abs_std,frequency_band
F3_theta_rel_mean,frequency_band
F3_theta_rel_std,frequency_band
F3_alpha_abs_mean,frequency_band
F3_alpha_abs_std,frequency_band
F3_alpha_rel_mean,frequency_band
F3_alpha_rel_std,frequency_band
F3_beta_abs_mean,frequency_band
F3_beta_abs_std,frequency_band
F3_beta_rel_mean,frequency_band
F3_beta_rel_std,frequency_band
F3_gamma_abs_mean,frequency_band
F3_gamma_abs_std,frequency_band
F3_gamma_rel_mean,frequency_band
F3_gamma_rel_std,frequency_band
F3_theta_beta_ratio_mean,band_ratio
F3_theta_beta_ratio_std,band_ratio
F3_theta_alpha_ratio_mean,band_ratio
F3_theta_alpha_ratio_std,band_ratio
F3_beta_alpha_ratio_mean,band_ratio
F3_beta_alpha_ratio_std,band_ratio
F3_psd_2hz_mean,psd_bin
F3_psd_2hz_std,psd_bin
F3_psd_4hz_mean,psd_bin
F3_psd_4hz_std,psd_bin
F3_psd_6hz_mean,psd_bin
F3_psd_6hz_std,psd_bin
F3_psd_8hz_mean,psd_bin
F3_psd_8hz_std,psd_bin
F3_psd_10hz_mean,psd_bin
F3_psd_10hz_std,psd_bin
F3_psd_12hz_mean,psd_bin
F3_psd_12hz_std,psd_bin
F3_psd_14hz_mean,psd_bin
F3_psd_14hz_std,psd_bin
F3_psd_16hz_mean,psd_bin
F3_psd_16hz_std,psd_bin
F3_psd_18hz_mean,psd_bin
F3_psd_18hz_std,psd_bin
F3_psd_20hz_mean,psd_bin
F3_psd_20hz_std,psd_bin
F3_psd_22hz_mean,psd_bin
F3_psd_22hz_std,psd_bin
F3_psd_24hz_mean,psd_bin
F3_psd_24hz_std,psd_bin
F3_psd_26hz_mean,psd_bin
F3_psd_26hz_std,psd_bin
F3_psd_28hz_mean,psd_bin
F3_psd_28hz_std,psd_bin
F3_psd_30hz_mean,psd_bin
F3_psd_30hz_std,psd_bin
F4_mean_mean,time_domain
F4_mean_std,time_domain
F4_std_mean,time_domain
F4_std_std,time_domain
F4_rms_mean,time_domain
F4_rms_std,time_domain
F4_ptp_mean,time_domain
F4_ptp_std,time_domain
F4_skew_mean,time_domain
F4_skew_std,time_domain
F4_kurtosis_mean,time_domain
F4_kurtosis_std,time_domain
F4_line_length_mean,time_domain
F4_line_length_std,time_domain
F4_zero_crossing_rate_mean,time_domain
F4_zero_crossing_rate_std,time_domain
F4_hjorth_activity_mean,hjorth
F4_hjorth_activity_std,hjorth
F4_hjorth_mobility_mean,hjorth
F4_hjorth_mobility_std,hjorth
F4_hjorth_complexity_mean,hjorth
F4_hjorth_complexity_std,hjorth
F4_delta_abs_mean,frequency_band
F4_delta_abs_std,frequency_band
F4_delta_rel_mean,frequency_band
F4_delta_rel_std,frequency_band
F4_theta_abs_mean,frequency_band
F4_theta_abs_std,frequency_band
F4_theta_rel_mean,frequency_band
F4_theta_rel_std,frequency_band
F4_alpha_abs_mean,frequency_band
F4_alpha_abs_std,frequency_band
F4_alpha_rel_mean,frequency_band
F4_alpha_rel_std,frequency_band
F4_beta_abs_mean,frequency_band
F4_beta_abs_std,frequency_band
F4_beta_rel_mean,frequency_band
F4_beta_rel_std,frequency_band
F4_gamma_abs_mean,frequency_band
F4_gamma_abs_std,frequency_band
F4_gamma_rel_mean,frequency_band
F4_gamma_rel_std,frequency_band
F4_theta_beta_ratio_mean,band_ratio
F4_theta_beta_ratio_std,band_ratio
F4_theta_alpha_ratio_mean,band_ratio
F4_theta_alpha_ratio_std,band_ratio
F4_beta_alpha_ratio_mean,band_ratio
F4_beta_alpha_ratio_std,band_ratio
F4_psd_2hz_mean,psd_bin
F4_psd_2hz_std,psd_bin
F4_psd_4hz_mean,psd_bin
F4_psd_4hz_std,psd_bin
F4_psd_6hz_mean,psd_bin
F4_psd_6hz_std,psd_bin
F4_psd_8hz_mean,psd_bin
F4_psd_8hz_std,psd_bin
F4_psd_10hz_mean,psd_bin
F4_psd_10hz_std,psd_bin
F4_psd_12hz_mean,psd_bin
F4_psd_12hz_std,psd_bin
F4_psd_14hz_mean,psd_bin
F4_psd_14hz_std,psd_bin
F4_psd_16hz_mean,psd_bin
F4_psd_16hz_std,psd_bin
F4_psd_18hz_mean,psd_bin
F4_psd_18hz_std,psd_bin
F4_psd_20hz_mean,psd_bin
F4_psd_20hz_std,psd_bin
F4_psd_22hz_mean,psd_bin
F4_psd_22hz_std,psd_bin
F4_psd_24hz_mean,psd_bin
F4_psd_24hz_std,psd_bin
F4_psd_26hz_mean,psd_bin
F4_psd_26hz_std,psd_bin
F4_psd_28hz_mean,psd_bin
F4_psd_28hz_std,psd_bin
F4_psd_30hz_mean,psd_bin
F4_psd_30hz_std,psd_bin
C3_mean_mean,time_domain
C3_mean_std,time_domain
C3_std_mean,time_domain
C3_std_std,time_domain
C3_rms_mean,time_domain
C3_rms_std,time_domain
C3_ptp_mean,time_domain
C3_ptp_std,time_domain
C3_skew_mean,time_domain
C3_skew_std,time_domain
C3_kurtosis_mean,time_domain
C3_kurtosis_std,time_domain
C3_line_length_mean,time_domain
C3_line_length_std,time_domain
C3_zero_crossing_rate_mean,time_domain
C3_zero_crossing_rate_std,time_domain
C3_hjorth_activity_mean,hjorth
C3_hjorth_activity_std,hjorth
C3_hjorth_mobility_mean,hjorth
C3_hjorth_mobility_std,hjorth
C3_hjorth_complexity_mean,hjorth
C3_hjorth_complexity_std,hjorth
C3_delta_abs_mean,frequency_band
C3_delta_abs_std,frequency_band
C3_delta_rel_mean,frequency_band
C3_delta_rel_std,frequency_band
C3_theta_abs_mean,frequency_band
C3_theta_abs_std,frequency_band
C3_theta_rel_mean,frequency_band
C3_theta_rel_std,frequency_band
C3_alpha_abs_mean,frequency_band
C3_alpha_abs_std,frequency_band
C3_alpha_rel_mean,frequency_band
C3_alpha_rel_std,frequency_band
C3_beta_abs_mean,frequency_band
C3_beta_abs_std,frequency_band
C3_beta_rel_mean,frequency_band
C3_beta_rel_std,frequency_band
C3_gamma_abs_mean,frequency_band
C3_gamma_abs_std,frequency_band
C3_gamma_rel_mean,frequency_band
